[15:51:01] src/nnvm/legacy_json_util.cc:190: Loading symbol saved by previous version v0.8.0. Attempting to upgrade...
[15:51:01] src/nnvm/legacy_json_util.cc:198: Symbol successfully upgraded!
note: caffe model don't have 'flatten0', but 'flatten_0'
note: don't have flatten_0, but flatten
[15:51:01] src/io/iter_image_recordio.cc:220: ImageRecordIOParser: ../../data/ism-train_train.rec, use 4 threads for decoding..
[15:51:03] src/io/iter_image_recordio.cc:220: ImageRecordIOParser: ../../data/ism-train_val.rec, use 4 threads for decoding..
2017-07-21 15:51:23,553 Epoch[0] Batch [10]	Speed: 103.40 samples/sec	Train-accuracy=0.634470
2017-07-21 15:51:28,113 Epoch[0] Batch [20]	Speed: 105.30 samples/sec	Train-accuracy=0.729167
2017-07-21 15:51:32,670 Epoch[0] Batch [30]	Speed: 105.34 samples/sec	Train-accuracy=0.822917
2017-07-21 15:51:37,218 Epoch[0] Batch [40]	Speed: 105.55 samples/sec	Train-accuracy=0.850000
2017-07-21 15:51:39,492 Epoch[0] Train-accuracy=0.845833
2017-07-21 15:51:39,492 Epoch[0] Time cost=23.479
2017-07-21 15:51:39,904 Saved checkpoint to "../../models/pretrained-models/inception-bn/Inception-BN-train-224-lr-0.01-momentum-0.9-0001.params"
2017-07-21 15:51:40,253 Epoch[0] Validation-accuracy=0.833333
2017-07-21 15:51:45,021 Epoch[1] Batch [10]	Speed: 104.79 samples/sec	Train-accuracy=0.869318
2017-07-21 15:51:49,571 Epoch[1] Batch [20]	Speed: 105.51 samples/sec	Train-accuracy=0.860417
2017-07-21 15:51:54,118 Epoch[1] Batch [30]	Speed: 105.58 samples/sec	Train-accuracy=0.877083
2017-07-21 15:51:58,669 Epoch[1] Batch [40]	Speed: 105.46 samples/sec	Train-accuracy=0.906250
2017-07-21 15:52:00,490 Epoch[1] Train-accuracy=0.875000
2017-07-21 15:52:00,490 Epoch[1] Time cost=20.237
2017-07-21 15:52:00,868 Saved checkpoint to "../../models/pretrained-models/inception-bn/Inception-BN-train-224-lr-0.01-momentum-0.9-0002.params"
2017-07-21 15:52:01,550 Epoch[1] Validation-accuracy=0.840278
2017-07-21 15:52:06,299 Epoch[2] Batch [10]	Speed: 105.48 samples/sec	Train-accuracy=0.899621
2017-07-21 15:52:10,854 Epoch[2] Batch [20]	Speed: 105.37 samples/sec	Train-accuracy=0.912500
2017-07-21 15:52:15,419 Epoch[2] Batch [30]	Speed: 105.18 samples/sec	Train-accuracy=0.889583
2017-07-21 15:52:19,965 Epoch[2] Batch [40]	Speed: 105.58 samples/sec	Train-accuracy=0.920833
2017-07-21 15:52:22,250 Epoch[2] Train-accuracy=0.862500
2017-07-21 15:52:22,250 Epoch[2] Time cost=20.700
2017-07-21 15:52:22,642 Saved checkpoint to "../../models/pretrained-models/inception-bn/Inception-BN-train-224-lr-0.01-momentum-0.9-0003.params"
2017-07-21 15:52:22,968 Epoch[2] Validation-accuracy=0.906250
2017-07-21 15:52:27,715 Epoch[3] Batch [10]	Speed: 105.55 samples/sec	Train-accuracy=0.912879
2017-07-21 15:52:32,269 Epoch[3] Batch [20]	Speed: 105.41 samples/sec	Train-accuracy=0.918750
2017-07-21 15:52:36,814 Epoch[3] Batch [30]	Speed: 105.61 samples/sec	Train-accuracy=0.908333
2017-07-21 15:52:41,361 Epoch[3] Batch [40]	Speed: 105.58 samples/sec	Train-accuracy=0.929167
2017-07-21 15:52:43,183 Epoch[3] Train-accuracy=0.916667
2017-07-21 15:52:43,183 Epoch[3] Time cost=20.215
2017-07-21 15:52:43,560 Saved checkpoint to "../../models/pretrained-models/inception-bn/Inception-BN-train-224-lr-0.01-momentum-0.9-0004.params"
2017-07-21 15:52:43,879 Epoch[3] Validation-accuracy=0.875000
2017-07-21 15:52:48,613 Epoch[4] Batch [10]	Speed: 105.58 samples/sec	Train-accuracy=0.899621
2017-07-21 15:52:53,150 Epoch[4] Batch [20]	Speed: 105.81 samples/sec	Train-accuracy=0.931250
2017-07-21 15:52:57,692 Epoch[4] Batch [30]	Speed: 105.69 samples/sec	Train-accuracy=0.902083
2017-07-21 15:53:02,240 Epoch[4] Batch [40]	Speed: 105.56 samples/sec	Train-accuracy=0.929167
2017-07-21 15:53:04,511 Epoch[4] Train-accuracy=0.879167
2017-07-21 15:53:04,511 Epoch[4] Time cost=20.632
2017-07-21 15:53:04,890 Saved checkpoint to "../../models/pretrained-models/inception-bn/Inception-BN-train-224-lr-0.01-momentum-0.9-0005.params"
2017-07-21 15:53:05,345 Epoch[4] Validation-accuracy=0.888889
2017-07-21 15:53:10,064 Epoch[5] Batch [10]	Speed: 105.74 samples/sec	Train-accuracy=0.914773
2017-07-21 15:53:14,616 Epoch[5] Batch [20]	Speed: 105.44 samples/sec	Train-accuracy=0.935417
2017-07-21 15:53:19,162 Epoch[5] Batch [30]	Speed: 105.61 samples/sec	Train-accuracy=0.929167
2017-07-21 15:53:23,709 Epoch[5] Batch [40]	Speed: 105.57 samples/sec	Train-accuracy=0.937500
2017-07-21 15:53:25,528 Epoch[5] Train-accuracy=0.890625
2017-07-21 15:53:25,528 Epoch[5] Time cost=20.183
2017-07-21 15:53:25,906 Saved checkpoint to "../../models/pretrained-models/inception-bn/Inception-BN-train-224-lr-0.01-momentum-0.9-0006.params"
2017-07-21 15:53:26,221 Epoch[5] Validation-accuracy=0.916667
2017-07-21 15:53:30,932 Epoch[6] Batch [10]	Speed: 105.61 samples/sec	Train-accuracy=0.928030
2017-07-21 15:53:35,477 Epoch[6] Batch [20]	Speed: 105.61 samples/sec	Train-accuracy=0.931250
2017-07-21 15:53:40,023 Epoch[6] Batch [30]	Speed: 105.60 samples/sec	Train-accuracy=0.918750
2017-07-21 15:53:44,575 Epoch[6] Batch [40]	Speed: 105.45 samples/sec	Train-accuracy=0.939583
2017-07-21 15:53:46,396 Epoch[6] Train-accuracy=0.921875
2017-07-21 15:53:46,396 Epoch[6] Time cost=20.175
2017-07-21 15:53:46,765 Saved checkpoint to "../../models/pretrained-models/inception-bn/Inception-BN-train-224-lr-0.01-momentum-0.9-0007.params"
2017-07-21 15:53:47,216 Epoch[6] Validation-accuracy=0.902778
2017-07-21 15:53:51,937 Epoch[7] Batch [10]	Speed: 105.65 samples/sec	Train-accuracy=0.928030
2017-07-21 15:53:56,475 Epoch[7] Batch [20]	Speed: 105.78 samples/sec	Train-accuracy=0.943750
2017-07-21 15:54:01,028 Epoch[7] Batch [30]	Speed: 105.44 samples/sec	Train-accuracy=0.937500
2017-07-21 15:54:05,571 Epoch[7] Batch [40]	Speed: 105.66 samples/sec	Train-accuracy=0.935417
2017-07-21 15:54:07,845 Epoch[7] Train-accuracy=0.916667
2017-07-21 15:54:07,845 Epoch[7] Time cost=20.629
2017-07-21 15:54:08,222 Saved checkpoint to "../../models/pretrained-models/inception-bn/Inception-BN-train-224-lr-0.01-momentum-0.9-0008.params"
2017-07-21 15:54:08,545 Epoch[7] Validation-accuracy=0.937500
